h3_polygon,route_id,route_long_name,trip_id,company,transport_mode,stop_sequence,arrival_time,departure_time,stop_name,stop_lon,stop_lat,arrival_date,departure_date,h3_cell
"POLYGON ((1.318121 47.806631, 1.011704 47.744931, 0.952079 47.519804, 1.1973 47.357094, 1.501458 47.418971, 1.562644 47.64338, 1.318121 47.806631))",FR:Line::2381a54a-1f59-4452-88c7-303179dd472b:,Paris - Nantes,OCESN4080F3330216:2024-10-01T00:19:58Z,sncf_intercites,TRAIN,4,08:57:00,09:00:00,Blois - Chambord,1.323759,47.585449,2024-11-03 08:57:00,2024-11-03 08:57:00,594904827931131903
"POLYGON ((2.832259 47.079562, 2.767743 46.855783, 3.012846 46.722992, 3.323557 46.813739, 3.389976 47.037783, 3.143783 47.170817, 2.832259 47.079562))",FR:Line::8ba8a419-03e7-45ba-aef8-33b50dc5179b:,Nantes - Lyon,OCESN4504F3310714:2024-10-16T00:34:14Z,sncf_intercites,TRAIN,5,15:09:00,15:19:00,Nevers,3.150743,46.987282,2024-11-03 15:09:00,2024-11-03 15:09:00,595030722012512255
"POLYGON ((0.03416 47.326783, -0.272298 47.260386, -0.32756 47.032445, -0.077991 46.8716, 0.226253 46.938132, 0.28313 47.165371, 0.03416 47.326783))",FR:Line::8ba8a419-03e7-45ba-aef8-33b50dc5179b:,Nantes - Lyon,OCESN4504F3310714:2024-10-16T00:34:14Z,sncf_intercites,TRAIN,9,17:54:00,17:56:00,Saumur,-0.071403,47.268994,2024-11-03 17:54:00,2024-11-03 17:54:00,594904973960019967
"POLYGON ((0.03416 47.326783, -0.272298 47.260386, -0.32756 47.032445, -0.077991 46.8716, 0.226253 46.938132, 0.28313 47.165371, 0.03416 47.326783))",FR:Line::2381a54a-1f59-4452-88c7-303179dd472b:,Paris - Nantes,OCESN4076F3170549:2024-10-15T00:33:00Z,sncf_intercites,TRAIN,2,18:48:00,18:51:00,Saumur,-0.071403,47.268994,2024-11-03 18:48:00,2024-11-03 18:48:00,594904973960019967
"POLYGON ((0.952079 47.519804, 0.646365 47.456488, 0.588119 47.230298, 0.834007 47.068138, 1.137485 47.131619, 1.1973 47.357094, 0.952079 47.519804))",FR:Line::2381a54a-1f59-4452-88c7-303179dd472b:,Paris - Nantes,OCESN4076F3170549:2024-10-15T00:33:00Z,sncf_intercites,TRAIN,3,19:29:00,19:32:00,Saint-Pierre-des-Corps,0.723539,47.38614,2024-11-03 19:29:00,2024-11-03 19:29:00,594904793571393535
"POLYGON ((2.249146 49.036218, 1.9384 48.979596, 1.874725 48.758141, 2.120222 48.594025, 2.428614 48.650849, 2.493851 48.871587, 2.249146 49.036218))",FR:Line::2381a54a-1f59-4452-88c7-303179dd472b:,Paris - Nantes,OCESN4076F3170549:2024-10-15T00:33:00Z,sncf_intercites,TRAIN,6,21:31:00,21:33:00,Juvisy,2.38267,48.68917,2024-11-03 21:31:00,2024-11-03 21:31:00,595032912445833215
"POLYGON ((2.249146 49.036218, 1.9384 48.979596, 1.874725 48.758141, 2.120222 48.594025, 2.428614 48.650849, 2.493851 48.871587, 2.249146 49.036218))",FR:Line::2381a54a-1f59-4452-88c7-303179dd472b:,Paris - Nantes,OCESN4076F3170549:2024-10-15T00:33:00Z,sncf_intercites,TRAIN,7,21:46:00,21:46:00,Paris Austerlitz,2.364891,48.842285,2024-11-03 21:46:00,2024-11-03 21:46:00,595032912445833215
"POLYGON ((0.952079 47.519804, 0.646365 47.456488, 0.588119 47.230298, 0.834007 47.068138, 1.137485 47.131619, 1.1973 47.357094, 0.952079 47.519804))",FR:Line::8ba8a419-03e7-45ba-aef8-33b50dc5179b:,Nantes - Lyon,OCESN4506F3310637:2024-10-16T00:34:14Z,sncf_intercites,TRAIN,8,20:25:00,20:29:00,Saint-Pierre-des-Corps,0.723539,47.38614,2024-11-03 20:25:00,2024-11-03 20:25:00,594904793571393535
"POLYGON ((0.03416 47.326783, -0.272298 47.260386, -0.32756 47.032445, -0.077991 46.8716, 0.226253 46.938132, 0.28313 47.165371, 0.03416 47.326783))",FR:Line::8ba8a419-03e7-45ba-aef8-33b50dc5179b:,Nantes - Lyon,OCESN4506F3310637:2024-10-16T00:34:14Z,sncf_intercites,TRAIN,9,20:59:00,21:01:00,Saumur,-0.071403,47.268994,2024-11-03 20:59:00,2024-11-03 20:59:00,594904973960019967
"POLYGON ((2.249146 49.036218, 1.9384 48.979596, 1.874725 48.758141, 2.120222 48.594025, 2.428614 48.650849, 2.493851 48.871587, 2.249146 49.036218))",OCESN-87471003-87547000, -,OCESN4092F3161672:2024-10-01T00:19:58Z,sncf_intercites,TRAIN,5,19:21:00,19:30:00,Massy-Palaiseau,2.257528,48.726421,2024-11-03 19:21:00,2024-11-03 19:21:00,595032912445833215
"POLYGON ((0.03416 47.326783, -0.272298 47.260386, -0.32756 47.032445, -0.077991 46.8716, 0.226253 46.938132, 0.28313 47.165371, 0.03416 47.326783))",FR:Line::8ba8a419-03e7-45ba-aef8-33b50dc5179b:,Nantes - Lyon,OCESN4406F3553601:2024-10-16T00:34:14Z,sncf_intercites,TRAIN,2,15:52:00,15:54:00,Saumur,-0.071403,47.268994,2024-11-03 15:52:00,2024-11-03 15:52:00,594904973960019967
"POLYGON ((0.03416 47.326783, -0.272298 47.260386, -0.32756 47.032445, -0.077991 46.8716, 0.226253 46.938132, 0.28313 47.165371, 0.03416 47.326783))",FR:Line::8ba8a419-03e7-45ba-aef8-33b50dc5179b:,Nantes - Lyon,OCESN4402F3493255:2024-10-14T00:42:09Z,sncf_intercites,TRAIN,2,07:31:00,07:33:00,Saumur,-0.071403,47.268994,2024-11-03 07:31:00,2024-11-03 07:31:00,594904973960019967
"POLYGON ((3.745809 46.318798, 3.678788 46.093114, 3.921583 45.956094, 4.232418 46.044498, 4.301306 46.270429, 4.057494 46.407711, 3.745809 46.318798))",FR:Line::8ba8a419-03e7-45ba-aef8-33b50dc5179b:,Nantes - Lyon,OCESN4402F3493255:2024-10-14T00:42:09Z,sncf_intercites,TRAIN,9,12:04:00,12:07:00,Roanne,4.063207,46.039383,2024-11-03 12:04:00,2024-11-03 12:04:00,595030447134605311
"POLYGON ((4.475088 45.905902, 4.405929 45.679169, 4.647465 45.539269, 4.959125 45.625827, 5.030131 45.852791, 4.787632 45.992967, 4.475088 45.905902))",FR:Line::8ba8a419-03e7-45ba-aef8-33b50dc5179b:,Nantes - Lyon,OCESN4402F3493255:2024-10-14T00:42:09Z,sncf_intercites,TRAIN,11,13:22:00,13:22:00,Lyon Perrache,4.825777,45.748508,2024-11-03 13:22:00,2024-11-03 13:22:00,595030421364801535
"POLYGON ((-0.459069 45.264527, -0.75674 45.193002, -0.808824 44.961184, -0.564791 44.801606, -0.269192 44.873254, -0.215564 45.104356, -0.459069 45.264527))",FR:Line::3418b67d-a81f-4dde-b3b0-60cc96ed86f4:,Bordeaux - Marseille,OCESN4669F3365789:2024-10-16T00:34:14Z,sncf_intercites,TRAIN,0,18:23:00,18:23:00,Bordeaux Saint-Jean,-0.556875,44.825233,2024-11-03 18:23:00,2024-11-03 18:23:00,594904750621720575
"POLYGON ((3.502613 43.530724, 3.438713 43.299789, 3.673112 43.157123, 3.972374 43.245131, 4.038014 43.47635, 3.802654 43.619279, 3.502613 43.530724))",FR:Line::3418b67d-a81f-4dde-b3b0-60cc96ed86f4:,Bordeaux - Marseille,OCESN4669F3365789:2024-10-16T00:34:14Z,sncf_intercites,TRAIN,6,22:37:00,22:39:00,Sète,3.696571,43.412641,2024-11-03 22:37:00,2024-11-03 22:37:00,595485507509551103
"POLYGON ((0.449245 44.391686, 0.157033 44.321297, 0.102941 44.089763, 0.339598 43.929361, 0.629781 43.999905, 0.685327 44.230696, 0.449245 44.391686))",FR:Line::3418b67d-a81f-4dde-b3b0-60cc96ed86f4:,Bordeaux - Marseille,OCESN4756F3311060:2024-10-16T00:34:14Z,sncf_intercites,TRAIN,2,12:29:00,12:31:00,Agen,0.620867,44.207967,2024-11-03 12:29:00,2024-11-03 12:29:00,595484803134914559
"POLYGON ((2.968815 43.582355, 2.906656 43.351719, 3.141109 43.210561, 3.438713 43.299789, 3.502613 43.530724, 3.26717 43.672134, 2.968815 43.582355))",FR:Line::3418b67d-a81f-4dde-b3b0-60cc96ed86f4:,Bordeaux - Marseille,OCESN4762F3133945:2024-10-16T00:34:14Z,sncf_intercites,TRAIN,3,15:42:00,15:45:00,Béziers,3.218895,43.336295,2024-11-03 15:42:00,2024-11-03 15:42:00,595484605566418943
