h3_cell,city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
595485361480663039,Saint-Rémy-de-Provence,Saint-Remy-de-Provence,43.79,4.8325,France,FR,FRA,Provence-Alpes-Côte d’Azur,,9619,1250000185
594920118014705663,Neuville-lès-Dieppe,Neuville-les-Dieppe,49.9267,1.1014,France,FR,FRA,Normandie,,9616,1250261839
595032895265964031,Beaumont-sur-Oise,Beaumont-sur-Oise,49.1431,2.2872,France,FR,FRA,Île-de-France,,9590,1250864687
594920264043593727,Leers,Leers,50.6825,3.2447,France,FR,FRA,Hauts-de-France,,9588,1250179174
594920032115359743,Aire-sur-la-Lys,Aire-sur-la-Lys,50.64,2.4,France,FR,FRA,Hauts-de-France,,9585,1250126430
595030618933297151,Bourg-de-Péage,Bourg-de-Peage,45.0386,5.0508,France,FR,FRA,Auvergne-Rhône-Alpes,,9578,1250194846
594904656132440063,Aytré,Aytre,46.1347,-1.1133,France,FR,FRA,Nouvelle-Aquitaine,,9578,1250544423
595484511077138431,Saint-Sulpice-la-Pointe,Saint-Sulpice-la-Pointe,43.775,1.6872,France,FR,FRA,Occitanie,,9576,1250403331
595032895265964031,Ézanville,Ezanville,49.0286,2.3617,France,FR,FRA,Île-de-France,,9573,1250436744
595485352890728447,Pérols,Perols,43.5658,3.9511,France,FR,FRA,Occitanie,,9561,1250071000
594902147871539199,Basse-Goulaine,Basse-Goulaine,47.2161,-1.4642,France,FR,FRA,Pays de la Loire,,9555,1250129133
595485181092036607,Lorgues,Lorgues,43.4949,6.3612,France,FR,FRA,Provence-Alpes-Côte d’Azur,,9542,1250683494
594904175096102911,Le Rheu,Le Rheu,48.1028,-1.7942,France,FR,FRA,Bretagne,,9535,1250291417
595032646157860863,Crosne,Crosne,48.7164,2.458,France,FR,FRA,Île-de-France,,9532,1250623470
594902431339380735,Lescar,Lescar,43.3336,-0.4347,France,FR,FRA,Nouvelle-Aquitaine,,9524,1250321086
594904707672047615,Luçon,Lucon,46.4556,-1.1647,France,FR,FRA,Pays de la Loire,,9483,1250492396
